"baslik-tr","baslik-de","yazi-tr","yazi-de","secimYazi-tr","secimYazi-de","sonucYazi-tr-Duru","sonucYazi-tr-Dedde","sonucYazi-de"
"ORMANA HOŞGELDİN","","ORMANDA DOLAŞIRKEN KENDİNİ KEŞFEDEBİLECEĞİN BİR MACERAYA <br>HAZIR MISIN?","","ORMANA GİR","","NULL","NULL",""
"HAYAL ET","","ÇOK GÜZEL BİR ORMANDASIN","","YÜRÜMEYE DEVAM ET","","NULL","NULL",""
"ETRAFINA BAK","","AĞAÇLAR SIK MI SEYREK Mİ?","","SIK","","Ağaçları sık görmen çevrende çok arkadaşının gösterir.","Tam arkadaş canlısısın. Yeni arkadaşlıklar kurmayı seviyorsun. Konserde alanı hınca hınç dolmuş pop sanatçısı gibisin. Kalabalığı seviyorsun. Kalabalığın içinde olmaktan haz alıyorsun. ",""
"ETRAFINA BAK","","AĞAÇLAR SIK MI SEYREK Mİ?","","SEYREK","","Ağaçları seyrek görmen çevrende az arkadaşının gösterir.","Kalabalıktan kaçıyorsun. Dost canlısı değilsin. Bir iki tane olsun az olsun istiyorsun. Kalabalıktan ziyade seni anlayan bir arkadaş olsun yeterde artar. ",""
"AĞAÇLARI SEYRET","","AĞAÇ BOYLARI NASIL?","","UZUN","","Ağaç boylarının uzun olmasu arkadaşlıklarının uzun olduğunu gösterir.","Uzun süreli arkadaşlıkların var. Her şeyin yenisi, dostun eskisi diyorsun. Arkadaşlığa önem veriyorsun. Sağlam arkadaşlıkların var.",""
"AĞAÇLARI SEYRET","","AĞAÇ BOYLARI NASIL?","","KISA","","Ağaç boylarının kısa olmasu arkadaşlıklarının kısa olduğunu gösterir.","Arkadaşlarına karşı mesafelisin. Ne kadar iyi de olsalar araya hep bir mesafe koyuyorsun. Prensiplerin var ve kimse onlardan üstün değil. ",""
"YUKARI BAK","","GÖKYÜZÜNÜ GÖREBİLİYOR MUSUN?","","APAÇIK GÖREBİLİYORUM","","Bu arkadaşlık bağlarının zayıf,","Tavsiye almayı sevmiyorsun. Arkadaşlarının tavsiyesini kulak ardı ediyorsun. Söylenen şeyleri gözünle görmeden inanmıyorsun. Etki altında kalmıyorsun. ",""
"YUKARI BAK","","GÖKYÜZÜNÜ GÖREBİLİYOR MUSUN?","","AĞAÇLARIN ARASINDAN GÖREBİLİYORUM","","Bu arkadaşlık bağlarının iyi,","Arkadaş tavsiyelerini önemsiyorsun. Bir şeyi yorumlarken veya bir olayı sonuca bağlamaya çalışırken onların tavsiyelerinde faydalanıyorsun. ",""
"YUKARI BAK","","GÖKYÜZÜNÜ GÖREBİLİYOR MUSUN?","","AĞAÇLAR O KADAR GÜR Kİ GÖREMİYORUM","","Bu arkadaşlık bağlarının güçlü,","Kendi başına karar vermekte zorlanıyorsun. Hatta çoğu zaman karar bile veremiyorsun. Sürekli arkadaşlarında tavsiye alma mecburiyeti hissediyorsun. Fazla etkileniyorsun. ",""
" ","","BU GÜZEL ORMANI SEYRETMENİN KEYİFLİ OLDUĞUNU BİLİYORUM AMA DAHA YOLUMUZ VAR","","YÜRÜMEYE DEVAM ET","","NULL","NULL",""
"ÖNÜNE BİR HAYVAN ÇIKTI","","KARŞINA ÇIKAN HAYVAN HANGİSİYDİ?","","KURT","","Gördüğün hayvan senin karakterini yansıtıyor. Sen kurt gördün ve bu senin kurt olduğunu gösterir.","Asil bir insansın. Boyun eğmez. En zor zamanlarda bile taviz vermiyorsun. Dostluğa ve sadakate önem veriyorsun. ",""
"ÖNÜNE BİR HAYVAN ÇIKTI","","KARŞINA ÇIKAN HAYVAN HANGİSİYDİ?","","TAVŞAN","","Gördüğün hayvan senin karakterini yansıtıyor. Sen tavşan gördün ve bu senin tavşan olduğunu gösterir.","Oldukça sempatiksin. Deli, dolu ve zarif. Özel hayatın çok hareketli. Cinselliğe önem veriyorsun. ",""
"ÖNÜNE BİR HAYVAN ÇIKTI","","KARŞINA ÇIKAN HAYVAN HANGİSİYDİ?","","KEDİ","","Gördüğün hayvan senin karakterini yansıtıyor. Sen kedi gördün ve bu senin kedi olduğunu gösterir.","Uysal bir insansın. Suyuna giden herkesle anlaşabiliyorsun. Ama tersini kimse görmek istemez. En güzel yanın umursamazlığın. Hak ettiğin değeri vermeyen herkesi hayatından çıkarıyorsun. Çorap çıkarır gibi. ",""
"ÖNÜNE BİR HAYVAN ÇIKTI","","KARŞINA ÇIKAN HAYVAN HANGİSİYDİ?","","ASLAN","","Gördüğün hayvan senin karakterini yansıtıyor. Sen aslan gördün ve bu senin aslan olduğunu gösterir.","Gücünü yalnızlığından alıyorsun. Gücünün farkındasın. Dürüst, cesur, korkusuzsun. Lafını esirgemiyorsun. Yalnızsın çünkü tek kafa dengin kendinsin. Yalnızsın ama herkesin arkadaş olmak isteyeceği birisin. ",""
"ÖNÜNE BİR HAYVAN ÇIKTI","","KARŞINA ÇIKAN HAYVAN HANGİSİYDİ?","","BOĞA","","Gördüğün hayvan senin karakterini yansıtıyor. Sen boğa gördün ve bu senin boğa olduğunu gösterir.","Dirayetli bir insansın. Zorluklar yıldıramaz seni. Zorluk yoktur. Ayağa kalkmayan sen vardır. Cüssen gibi kocaman bir kalbin var. Her ne kadar göstermesen de oldukça uysalsın. Yeter ki önerilen şey mantıklı olsun. ",""
