"primary","ekranNo","baslik","yazi","secimNo","secimYazi","sonucYaziDuru","sonucYaziDedde","aksiyon","veri","islem",temsil,degeri
"1","0","ORMANA HOŞGELDİN","ORMANDA DOLAŞIRKEN KENDİNİ KEŞFEDEBİLECEĞİN BİR MACERAYA <br>HAZIR MISIN?","0","ORMANA GİR",NULL,NULL,"0",,,"",
"2","1","HAYAL ET","ÇOK GÜZEL BİR ORMANDASIN","0","YÜRÜMEYE DEVAM ET",NULL,NULL,"0",,,,
"3","2","ETRAFINA BAK","AĞAÇLAR SIK MI SEYREK Mİ?","0","SIK","Ağaçları sık görmen çevrende çok arkadaşının gösterir.","Tam arkadaş canlısısın. Yeni arkadaşlıklar kurmayı seviyorsun. Konserde alanı hınca hınç dolmuş pop sanatçısı gibisin. Kalabalığı seviyorsun. Kalabalığın içinde olmaktan haz alıyorsun. ","0",,,arkadaşlık,miktarı
"4","2","ETRAFINA BAK","AĞAÇLAR SIK MI SEYREK Mİ?","1","SEYREK","Ağaçları seyrek görmen çevrende az arkadaşının gösterir.","Kalabalıktan kaçıyorsun. Dost canlısı değilsin. Bir iki tane olsun az olsun istiyorsun. Kalabalıktan ziyade seni anlayan bir arkadaş olsun yeterde artar. ","0",,,arkadaşlık,miktarı
"5","3","AĞAÇLARI SEYRET","AĞAÇ BOYLARI NASIL?","0","UZUN","Ağaç boylarının uzun olmasu arkadaşlıklarının uzun olduğunu gösterir.","Uzun süreli arkadaşlıkların var. Her şeyin yenisi, dostun eskisi diyorsun. Arkadaşlığa önem veriyorsun. Sağlam arkadaşlıkların var.","0",,,arkadaşlık,ömrü
"6","3","AĞAÇLARI SEYRET","AĞAÇ BOYLARI NASIL?","1","KISA","Ağaç boylarının kısa olmasu arkadaşlıklarının kısa olduğunu gösterir.","Arkadaşlarına karşı mesafelisin. Ne kadar iyi de olsalar araya hep bir mesafe koyuyorsun. Prensiplerin var ve kimse onlardan üstün değil. ","0",,,arkadaşlık,ömrü
"7","4","YUKARI BAK","GÖKYÜZÜNÜ GÖREBİLİYOR MUSUN?","0","APAÇIK GÖREBİLİYORUM","Bu arkadaşlık bağlarının zayıf,","Tavsiye almayı sevmiyorsun. Arkadaşlarının tavsiyesini kulak ardı ediyorsun. Söylenen şeyleri gözünle görmeden inanmıyorsun. Etki altında kalmıyorsun. ","0",,,arkadaşlık,bağı
"8","4","YUKARI BAK","GÖKYÜZÜNÜ GÖREBİLİYOR MUSUN?","1","AĞAÇLARIN ARASINDAN GÖREBİLİYORUM","Bu arkadaşlık bağlarının iyi,","Arkadaş tavsiyelerini önemsiyorsun. Bir şeyi yorumlarken veya bir olayı sonuca bağlamaya çalışırken onların tavsiyelerinde faydalanıyorsun. ","0",,,arkadaşlık,bağı
"9","4","YUKARI BAK","GÖKYÜZÜNÜ GÖREBİLİYOR MUSUN?","2","AĞAÇLAR O KADAR GÜR Kİ GÖREMİYORUM","Bu arkadaşlık bağlarının güçlü,","Kendi başına karar vermekte zorlanıyorsun. Hatta çoğu zaman karar bile veremiyorsun. Sürekli arkadaşlarında tavsiye alma mecburiyeti hissediyorsun. Fazla etkileniyorsun. ","0",,,arkadaşlık,bağı
"10","5"," ","BU GÜZEL ORMANI SEYRETMENİN KEYİFLİ OLDUĞUNU BİLİYORUM AMA DAHA YOLUMUZ VAR","0","YÜRÜMEYE DEVAM ET",NULL,NULL,"0",,,,
"11","6","ÖNÜNE BİR HAYVAN ÇIKTI","KARŞINA ÇIKAN HAYVAN HANGİSİYDİ?","0","KURT","Gördüğün hayvan senin karakterini yansıtıyor. Sen kurt gördün ve bu senin kurt olduğunu gösterir.","Asil bir insansın. Boyun eğmez. En zor zamanlarda bile taviz vermiyorsun. Dostluğa ve sadakate önem veriyorsun. ","0",,,karakter,yapısı
"12","6","ÖNÜNE BİR HAYVAN ÇIKTI","KARŞINA ÇIKAN HAYVAN HANGİSİYDİ?","1","TAVŞAN","Gördüğün hayvan senin karakterini yansıtıyor. Sen tavşan gördün ve bu senin tavşan olduğunu gösterir.","Oldukça sempatiksin. Deli, dolu ve zarif. Özel hayatın çok hareketli. Cinselliğe önem veriyorsun. ","0",,,karakter,yapısı
